node_id,osmid,lon,lat
36,309330024,-122.3543825,37.5874468
101,65536436,-121.943233,37.2529214
103,386924997,-121.5569967,37.0028644
107,65536465,-121.912026,37.25044
110,65536474,-121.9040945,37.2505302
114,354419176,-122.7161276,38.4113905
129,1760559652,-121.8726147,37.2932404
163,258998915,-121.8783388,37.3034168
171,1760559768,-121.8727111,37.2949122
208,258999024,-121.8745834,37.2980811
215,56099591,-122.945222,38.7366715
216,3983016719,-122.4076565,37.6547879
219,258999067,-121.8725666,37.2951221
222,56099616,-122.9174665,38.7145025
228,56099632,-122.9089669,38.709444
230,258474804,-121.9076988,37.3966914
232,56099638,-122.9073362,38.7085341
233,56099636,-122.9074353,38.7085967
234,56099641,-122.9062432,38.7078709
270,258474896,-121.9079867,37.398742
283,386925477,-121.5560587,37.0031378
290,311952312,-121.8132619,37.299333
296,62391266,-122.1829474,38.0686292
355,311952464,-121.8096505,37.2921139
365,275776613,-122.2696202,37.8544681
402,311952579,-121.8102764,37.2941013
408,262079117,-122.4257785,37.620459
442,275776856,-122.2684162,37.8550439
500,56100305,-122.6876821,38.2844651
512,62391783,-122.245919,38.090469
577,56100443,-122.861804,38.446512
583,4887414370,-121.969153,37.3524475
585,4887414373,-121.9680282,37.3524514
592,4887414381,-121.9684751,37.352932
680,56100724,-122.9513447,38.4727877
730,272107495,-122.0673853,37.5386668
746,505940050,-121.8223231,38.4722818
771,56101043,-123.2923637,38.5438661
776,56101061,-122.4217538,38.2464581
944,272108122,-122.5140744,37.9451501
953,309332588,-122.014224,37.3530544
956,272108156,-122.5156596,37.940742
982,56101570,-123.4658152,38.7260307
984,272108232,-122.5169567,37.9376235
987,1715473103,-122.672034,38.273539
991,1715473108,-122.6298981,38.2478706
1008,272108276,-122.5168991,37.9381613
1009,1715473141,-122.667934,38.2706511
1015,56101627,-123.4478598,38.7088848
1034,259001133,-121.8587843,37.2567088
1043,62393146,-121.8228847,38.4543193
1044,56101693,-122.822265,38.4023042
1048,62393152,-121.8224127,38.4556268
1053,62393159,-121.8224234,38.4543131
1068,272108383,-122.5159945,37.938844
1070,272108385,-122.5161032,37.9389866
1071,887622498,-122.329271,37.5336495
1072,311954278,-121.8112296,37.2978998
1093,311954316,-121.8099397,37.2949793
1116,259001278,-121.8590011,37.2566731
1158,259001354,-121.8645378,37.2553794
1202,259001466,-121.8666064,37.2554955
1210,259001484,-121.8638272,37.2556865
1247,1806699735,-122.0904414,37.6514468
1257,1806699746,-122.089622,37.6529326
1259,1806699751,-122.0867466,37.6581687
1263,1806699755,-122.0849867,37.6613825
1265,1806699757,-122.084496,37.6622906
1266,1806699753,-122.0857955,37.6599356
1267,1806699759,-122.0842061,37.6628128
1269,1806699762,-122.0839874,37.6632
1270,1806699763,-122.0832993,37.6644349
1272,1806699765,-122.0815017,37.6677425
1276,1806699766,-122.0809364,37.6688485
1280,461376765,-122.39676,37.6147327
1300,65539359,-121.9420388,37.3540636
1325,65539401,-121.9285854,37.3434521
1327,65539404,-121.9326623,37.3446636
1328,65539405,-121.9329459,37.3447116
1329,65539407,-121.9349227,37.3452941
1508,1212681983,-122.1974905,37.8106751
1513,1212681996,-122.1972209,37.8108457
1527,416812834,-122.3170184,37.9231821
1544,3706195798,-121.8156427,37.3039258
1545,3706195797,-121.8151575,37.3012991
1547,3706195801,-121.8186637,37.3053453
1553,3706195812,-121.8140842,37.3008782
1556,3706195815,-121.8156853,37.3022681
1654,1325928462,-122.0319951,37.2592929
1655,1325928469,-122.0319983,37.2605131
1669,256905264,-122.2132383,37.4887198
1726,5188358319,-122.4217875,37.6148646
1760,1999638771,-122.1119225,37.6935736
1761,56103156,-122.3935164,38.2534273
1778,56103207,-122.4170263,38.2465562
1790,56103221,-122.4388997,38.2459733
1799,56103235,-122.4571902,38.2375873
1800,56103237,-122.4601943,38.236603
1898,5930226213,-121.8293387,37.3672661
1937,761795188,-122.4752357,37.7268699
1945,761795205,-122.4750455,37.726505
1971,3958379212,-122.1217372,37.6265704
2048,261624739,-121.9769289,37.2249166
2052,56103856,-122.6864313,38.4355751
2060,261624768,-121.9779992,37.2243598
2077,249041878,-122.3538154,37.9216459
2085,249041888,-122.3565693,37.9220033
2089,249041898,-122.3592652,37.9230385
