node_id,lon,lat
188,-122.2705052,37.7731774
189,-122.2704676,37.7740992
190,-122.2704308,37.7750464
191,-122.270428,37.7761033
192,-122.27042,37.7771043
193,-122.2703504,37.7788729
194,-122.2454984,37.7559236
195,-122.2729159,37.7693022
196,-122.2719315,37.7688877
197,-122.2712264,37.7685949
198,-122.2296626,37.7613857
199,-122.229094,37.7619057
200,-122.2284168,37.7635141
201,-122.2275754,37.7643247
202,-122.2269482,37.7648791
203,-122.2388834,37.7565915
204,-122.2382892,37.7571371
205,-122.2408487,37.7592571
206,-122.2653449,37.7816858
207,-122.2664611,37.7816513
208,-122.2677065,37.7816787
209,-122.2698545,37.7827672
210,-122.2707924,37.783117
211,-122.2973062,37.7835119
212,-122.2842055,37.7884838
213,-122.2837129,37.788458
214,-122.2623849,37.7679753
215,-122.2622833,37.7682299
216,-122.2622735,37.7692258
217,-122.2622295,37.7703854
218,-122.2622019,37.7710619
219,-122.2621304,37.7728993
220,-122.2620569,37.774757
221,-122.2620194,37.7757833
222,-122.2649674,37.7598099
223,-122.2718329,37.7712958
224,-122.2329417,37.7658645
225,-122.2322054,37.7654781
226,-122.2314832,37.7651007
227,-122.237952,37.7540483
228,-122.2373605,37.754587
229,-122.2367691,37.7551177
230,-122.236169,37.7556581
231,-122.2349423,37.7567691
232,-122.2341635,37.7574777
233,-122.232747,37.7587572
234,-122.2317845,37.7596235
235,-122.2304425,37.7608439
236,-122.2400152,37.7521323
237,-122.2397309,37.7524271
238,-122.2665696,37.7604139
239,-122.2601526,37.7596509
240,-122.2593633,37.7593598
241,-122.2585728,37.7590671
242,-122.2577815,37.7587735
243,-122.2569768,37.7584724
244,-122.2559471,37.7580908
245,-122.2682576,37.767852
246,-122.2682095,37.7693646
247,-122.2681654,37.7704054
248,-122.2681302,37.7712054
249,-122.2680577,37.7730895
250,-122.2300931,37.7528318
251,-122.2297196,37.7531006
252,-122.2272989,37.7549662
253,-122.2265935,37.7556073
254,-122.2507947,37.7707678
