start_nid,end_nid,link_type,length,lanes,maxspeed,geometry,maxmph,fft,link_id
1344,1554,tertiary,20.598,3,25,"LINESTRING(-122.2628353 37.776813, -122.2628203000000013 37.7768121000000008, -122.2626016 37.7767991)",25,1.8434505904288379,48
688,29,residential,20.632,2,25,"LINESTRING(-122.2952802 37.7876941, -122.2954466 37.7875632)",25,1.8464934742075825,49
29,688,residential,20.632,2,25,"LINESTRING(-122.2954466 37.7875632, -122.2952802 37.7876941)",25,1.8464934742075825,50
1282,5,residential,20.649,1,25,"LINESTRING(-122.2931146 37.7851468, -122.2931254 37.7849613)",25,1.8480149160969548,51
5,1282,residential,20.649,1,25,"LINESTRING(-122.2931254 37.7849613, -122.2931146 37.7851468)",25,1.8480149160969548,52
1468,1469,residential,20.675,1,25,"LINESTRING(-122.2540459 37.7779488, -122.2538395 37.7778596)",25,1.850341827221877,53
1469,1468,residential,20.675,1,25,"LINESTRING(-122.2538395 37.7778596, -122.2540459 37.7779488)",25,1.850341827221877,54
1175,998,unclassified,20.771,1,25,"LINESTRING(-122.3084562 37.7850031, -122.3084717 37.7848167)",25,1.858933499067744,55
998,1175,unclassified,20.771,1,25,"LINESTRING(-122.3084717 37.7848167, -122.3084562 37.7850031)",25,1.858933499067744,56
1153,1151,service,20.777,1,25,"LINESTRING(-122.3003766 37.7815601, -122.3006125 37.7815725)",25,1.8594704785581109,57
1151,1153,service,20.777,1,25,"LINESTRING(-122.3006125 37.7815725, -122.3003766 37.7815601)",25,1.8594704785581109,58
16,23,residential,20.806,1,25,"LINESTRING(-122.2823978 37.7725135, -122.2823896 37.7727005)",25,1.8620658794282163,59
23,16,residential,20.806,1,25,"LINESTRING(-122.2823896 37.7727005, -122.2823978 37.7725135)",25,1.8620658794282163,60
1968,1400,service,20.822,1,25,"LINESTRING(-122.27588515 37.777658, -122.2761235 37.7776348)",25,1.8634978247358607,61
1400,1968,service,20.822,1,25,"LINESTRING(-122.2761235 37.7776348, -122.27588515 37.777658)",25,1.8634978247358607,62
741,153,secondary,20.848,1,25,"LINESTRING(-122.2412792 37.766069, -122.24141 37.7659126)",25,1.8658247358607831,63
153,741,secondary,20.848,1,25,"LINESTRING(-122.24141 37.7659126, -122.2412792 37.766069)",25,1.8658247358607831,64
1707,1706,service,20.899,1,25,"LINESTRING(-122.2952082 37.7812129, -122.2951917 37.7814004)",25,1.870389062,65
1706,1707,service,20.899,1,25,"LINESTRING(-122.2951917 37.7814004, -122.2952082 37.7812129)",25,1.870389062,66
982,984,service,20.91,1,25,"LINESTRING(-122.2313932 37.753216, -122.2315701 37.7533417)",25,1.8713735239279057,67
1846,537,unclassified,20.943,1,25,"LINESTRING(-122.29817675000001 37.7843445, -122.2981598 37.7845639)",25,1.8743269111249226,68
537,1846,unclassified,20.943,1,25,"LINESTRING(-122.2981598 37.7845639, -122.29817675000001 37.7843445)",25,1.8743269111249226,69
1134,1136,service,20.947,1,25,"LINESTRING(-122.2765725 37.7792352, -122.2763348 37.7792363)",25,1.8746848974518335,70
1136,1134,service,20.947,1,25,"LINESTRING(-122.2763348 37.7792363, -122.2765725 37.7792352)",25,1.8746848974518335,71
1544,1543,service,20.951,1,25,"LINESTRING(-122.2458671 37.7723455, -122.2459808 37.7721799)",25,1.8750428837787447,72
1543,1544,service,20.951,1,25,"LINESTRING(-122.2459808 37.7721799, -122.2458671 37.7723455)",25,1.8750428837787447,73
1558,1509,residential,20.973,1,25,"LINESTRING(-122.281919 37.7869502, -122.2819304 37.7867618)",25,1.8770118085767558,74
1509,1558,residential,20.973,1,25,"LINESTRING(-122.2819304 37.7867618, -122.281919 37.7869502)",25,1.8770118085767558,75
134,894,residential,20.985999999999997,1,25,"LINESTRING(-122.2838959 37.7824421, -122.2838986000000006 37.7824734000000007, -122.2839072000000016 37.7824975999999992, -122.2839234000000062 37.7825228000000024, -122.2840274 37.782584)",25,1.8781752641392166,76
1787,2002,service,20.986,1,25,"LINESTRING(-122.24009405000001 37.7662495, -122.23987475 37.766383399999995)",25,1.878175264139217,77
1916,1220,service,20.994,1,25,"LINESTRING(-122.30615426666667 37.788986566666665, -122.3060938 37.7892695)",25,1.8788912367930393,78
1220,1916,service,20.994,1,25,"LINESTRING(-122.3060938 37.7892695, -122.30615426666667 37.788986566666665)",25,1.8788912367930393,79
1972,1885,service,21.034,1,25,"LINESTRING(-122.27737365 37.77315615, -122.27735605000001 37.7733439)",25,1.8824711000621503,80
1885,1972,service,21.034,1,25,"LINESTRING(-122.27735605000001 37.7733439, -122.27737365 37.77315615)",25,1.8824711000621503,81
1529,1382,service,21.095,1,25,"LINESTRING(-122.2504983 37.7549894, -122.2507112 37.7550746)",25,1.887930391547545,82
1382,1529,service,21.095,1,25,"LINESTRING(-122.2507112 37.7550746, -122.2504983 37.7549894)",25,1.887930391547545,83
1759,1760,service,21.107,1,25,"LINESTRING(-122.2774476 37.7712661, -122.2774454000000048 37.7713169000000022, -122.2774391 37.7714558)",25,1.8890043505282785,84
1760,1759,service,21.107,1,25,"LINESTRING(-122.2774391 37.7714558, -122.2774440999999968 37.7713449999999966, -122.2774476 37.7712661)",25,1.8890043505282785,85
1417,1970,service,21.115000000000002,1,25,"LINESTRING(-122.2768873 37.775679, -122.27671783333334 37.77553616666666)",25,1.889720323182101,86
1970,1417,service,21.115000000000002,1,25,"LINESTRING(-122.27671783333334 37.77553616666666, -122.2768873 37.775679)",25,1.889720323182101,87
1277,1278,service,21.122,1,25,"LINESTRING(-122.2895539 37.787916, -122.2897942 37.7879203)",25,1.8903467992541951,88
1278,1277,service,21.122,1,25,"LINESTRING(-122.2897942 37.7879203, -122.2895539 37.787916)",25,1.8903467992541951,89
1444,1644,residential,21.13,1,25,"LINESTRING(-122.286973 37.7703234, -122.2867326 37.7703238)",25,1.8910627719080173,90
1644,1444,residential,21.13,1,25,"LINESTRING(-122.2867326 37.7703238, -122.286973 37.7703234)",25,1.8910627719080173,91
1480,1984,secondary,21.181,1,25,"LINESTRING(-122.2497314 37.770307, -122.24950974999999 37.770210500000005)",25,1.8956270975761345,92
1984,1480,secondary,21.181,1,25,"LINESTRING(-122.24950974999999 37.770210500000005, -122.2497314 37.770307)",25,1.8956270975761345,93
737,1996,secondary_link,21.213,1,25,"LINESTRING(-122.2355422 37.7671706, -122.2354756000000009 37.7671390000000002, -122.2354036 37.767025)",25,1.8984909881914234,94
1861,1863,service,21.245,1,25,"LINESTRING(-122.29093543333333 37.7714968, -122.290954575 37.7708846)",25,1.9013548788067125,95
1863,1861,service,21.245,1,25,"LINESTRING(-122.290954575 37.7708846, -122.29093543333333 37.7714968)",25,1.9013548788067125,96
1390,1388,service,21.336,1,25,"LINESTRING(-122.2855552 37.7644566, -122.2854961 37.7646427)",25,1.9094990677439403,97
